Orthogroup	Arabidopsis	Hap1_v1.5_protein_chr16	Hap1_v1.5_protein_chr8	Total
OG0000857	3	4	4	11
OG0000858	4	4	3	11
OG0000859	1	5	5	11
OG0000860	1	5	5	11
OG0000861	1	6	4	11
OG0000862	1	6	4	11
OG0000863	3	4	4	11
OG0000864	1	4	6	11
OG0000865	2	3	6	11
OG0000866	1	7	3	11
OG0000867	1	4	6	11
OG0000868	0	11	0	11
OG0000869	0	3	8	11
OG0000870	0	11	0	11
OG0000871	0	5	6	11
OG0000872	0	5	6	11
OG0000873	0	2	9	11
OG0000874	0	10	1	11
OG0000875	0	11	0	11
OG0000876	0	11	0	11
OG0000877	0	11	0	11
OG0000878	0	11	0	11
OG0000879	0	4	7	11
OG0000880	0	2	9	11
OG0000881	0	11	0	11
OG0000882	0	1	10	11
OG0000883	0	6	5	11
OG0000884	0	10	1	11
OG0000885	0	2	9	11
OG0000886	0	11	0	11
OG0000887	0	1	10	11
OG0000888	0	9	2	11
OG0000889	0	11	0	11
OG0000890	0	11	0	11
OG0000891	0	11	0	11
OG0000892	0	10	1	11
OG0000893	0	10	1	11
OG0000894	0	2	9	11
OG0000895	0	2	9	11
OG0000896	0	2	9	11
OG0000897	0	2	9	11
OG0000898	0	8	3	11
OG0000899	0	3	8	11
OG0000900	0	7	4	11
OG0000901	0	10	1	11
OG0000902	0	3	8	11
OG0000903	0	1	10	11
OG0000904	0	10	1	11
OG0000905	0	10	1	11
OG0000906	0	2	9	11
OG0000907	0	9	2	11
OG0000908	0	9	2	11
OG0000909	0	7	4	11
OG0000910	0	6	5	11
OG0000911	0	10	1	11
OG0000912	0	2	9	11
OG0000913	0	9	2	11
OG0000914	0	11	0	11
OG0000915	0	11	0	11
OG0000916	0	11	0	11
OG0000917	0	9	2	11
OG0000918	0	1	10	11
OG0000919	0	5	6	11
OG0000920	0	7	4	11
OG0000921	0	7	4	11
OG0000922	0	5	6	11
OG0000923	0	10	1	11
OG0000924	0	5	6	11
OG0000925	0	9	2	11
OG0000926	0	2	9	11
OG0000927	0	7	4	11
OG0000928	0	7	4	11
OG0000929	0	3	8	11
OG0000930	0	5	6	11
OG0000931	0	8	3	11
OG0000932	0	5	6	11
OG0000933	0	3	8	11
OG0000934	0	5	6	11
OG0000935	0	3	8	11
OG0000936	0	2	9	11
